State_Abbreviations,Location,Total_Cases,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Percent_High_School_Or_Higher,Percent_Bachel_Or_Higher,Household_Income,Population,Per_Cases
AK,Alaska,226276,146741,1037866,966131,210850,93,30,77640,720763,31.39
AL,Alabama,1263796,122866,5928631,5637439,1820261,86,26,50536,4949697,25.53
AR,Arkansas,807711,134155,3948968,3701338,1146728,87,23,47597,3042017,26.55
AZ,Arizona,1953168,156489,11059716,10310716,3223220,87,30,58945,7640796,25.56
CA,California,8800789,178515,68129797,63101870,14596943,83,34,75235,39664128,22.19
CO,Colorado,1288600,177005,9854703,9210919,2206324,92,41,72331,5961083,21.62
CT,Connecticut,714408,202515,6983490,6494620,1762136,91,39,78444,3546588,20.14
DE,Delaware,253748,175566,1665221,1562470,506199,90,32,68287,998619,25.41
FL,Florida,5785719,166434,35074177,33250656,11582034,88,30,55660,22177997,26.09
GA,Georgia,2434131,133345,13841160,12996787,3394843,87,31,58700,10936299,22.26
HI,Hawaii,232008,195084,2665516,2483266,689381,92,33,81275,1401709,16.55
IA,Iowa,815206,154864,4749846,4475636,1445905,92,29,60523,3174426,25.68
ID,Idaho,403137,131064,2285254,2151354,682133,91,28,55785,1896652,21.26
IL,Illinois,3001771,169999,20728074,19293267,5004201,89,35,65886,12518071,23.98
IN,Indiana,1664353,135528,8906661,8391574,2595955,89,27,56303,6842385,24.32
KS,Kansas,758237,150315,4245408,3960058,1190128,91,33,59597,2919179,25.97
KY,Kentucky,1232297,140140,6111892,5776820,1741212,86,24,50589,4487233,27.46
LA,Louisiana,1213437,129168,5908041,5595325,1706465,85,24,49469,4616106,26.29
MA,Massachusetts,1648656,204597,13578070,12680313,3153176,91,44,81215,6922107,23.82
MD,Maryland,970732,187886,10939334,10133657,2501946,90,40,84805,6075314,15.98
ME,Maine,187697,199415,2598912,2453844,795032,93,32,57918,1359677,13.80
MI,Michigan,2324854,149843,14557211,13749924,4270648,91,29,57144,9995212,23.26
MN,Minnesota,1392731,173984,9425815,8796367,2483403,93,36,71306,5739781,24.26
MO,Missouri,1373435,139533,8349162,7880497,2453248,90,29,55461,6184843,22.21
MS,Mississippi,781436,124941,3654599,3451263,1091446,85,22,45081,2961536,26.39
MT,Montana,257852,142243,1482316,1405158,487991,94,32,54970,1093117,23.59
NC,North Carolina,2540372,152006,15485936,14549217,4228590,88,31,54602,10807491,23.51
ND,North Dakota,234998,138780,1025513,973597,290548,93,30,64984,774008,30.36
NE,Nebraska,451074,157460,2948746,2753664,813491,91,32,61439,1960790,23.00
NH,New Hampshire,288191,191188,2534685,2374889,693702,93,37,76768,1378449,20.91
NJ,New Jersey,2146285,184081,15822119,14719968,3662751,90,40,82545,8870685,24.20
NM,New Mexico,500516,177096,3594264,3342237,956947,86,27,49754,2109093,23.73
NV,Nevada,673322,151146,4552469,4273042,1141645,87,25,60365,3238601,20.79
NY,New York,5032117,191929,36217941,34001158,8275825,87,37,68486,19223191,26.18
OH,Ohio,2633648,146153,16630960,15728378,4961741,90,28,56602,11727377,22.46
OK,Oklahoma,1009129,143143,5542990,5218312,1533589,88,26,52919,4007179,25.18
OR,Oregon,674500,174904,7148515,6707929,1904278,91,34,62818,4325290,15.59
PA,Pennsylvania,2726797,170905,21242833,20020985,6162249,91,31,61744,12805190,21.29
RI,Rhode Island,352794,199096,2045097,1918303,525027,89,34,67167,1062583,33.20
SC,South Carolina,1442546,139174,7017551,6650597,2220630,88,28,53199,5342388,27.00
SD,South Dakota,233008,151687,1299847,1219531,385618,92,29,58275,902542,25.82
TN,Tennessee,1965983,138178,9260230,8812707,2756529,88,27,53320,7001803,28.08
TX,Texas,6531590,150912,42316427,38937511,8892431,84,30,61874,30097526,21.70
UT,Utah,914028,155431,4775559,4351701,955165,92,34,71621,3363182,27.18
VA,Virginia,1610726,183051,15038165,13979543,3528176,90,39,74222,8638218,18.65
VT,Vermont,108969,214247,1284137,1200932,373401,93,38,61973,622882,17.49
WA,Washington,1410596,178801,13171885,12311398,3144473,91,36,73775,7887965,17.88
WI,Wisconsin,1553551,168110,9500642,8945235,2806187,92,30,61747,5867518,26.48
WV,West Virginia,476957,145895,2571026,2449765,851039,87,21,46711,1755715,27.17
WY,Wyoming,152581,124962,708191,672042,221152,93,27,64049,582233,26.21
